Program,ess_identifier,Contract ID,Site Code,Site Description,ESA Code,ESA Name,State,specialist_site_type_code
ESS,3266463009,0212886G,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,
ESS,472607909,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
DMS,8355330709,0212845J,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,
DMS,9006285809,0212793B,FR58,AimBig Employment NERANG,4GOC,QLD South and West,QLD,MENH
DMS,4813610002,0212838K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,
ESS,7862106007,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
DMS,1511181909,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,
DMS,8969441309,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
ESS,9380894509,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL
DMS,2049046007,0212820K,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,MENH
DMS,2542940309,0212796E,FR68,AimBig Employment INALA,4SOB,QLD South and West,QLD,
DMS,1031636809,0212795D,FU88,AimBig Employment STRATHPINE,4NOB,QLD North,QLD,AALL
ESS,3336975809,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
ESS,1806755109,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL
DMS,4536347003,0212792A,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,
DMS,8649432209,0212830B,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,AALL
ESS,680911209,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,
DMS,7125013709,0212813A,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,
ESS,2592220,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,
DMS,11041200,0212875D,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,MUSK
DMS,926898009,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,
DMS,9001490,0212798G,MO27,AimBig Employment CAIRNS CITY,4CAI,QLD North,QLD,
ESS,2483726909,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,
DMS,8585868709,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH
ESS,726262409,0212891D,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,
DMS,7062426509,0212792A,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,
ESS,7834960006,0212885F,AE01,AimBig Employment SINGLETON,4UPH,Newcastle/Hunter,NSW,
DMS,570447209,0212794C,MO67,AimBig Employment SURFERS PARADISE,4GOC,QLD South and West,QLD,
DMS,5986103509,0212838K,AB41,AimBig Employment ROMA,4WDO,QLD South and West,QLD,AALL
ESS,3287255003,0212881B,AE71,AimBig Employment WOY WOY,4CEC,Central Coast NSW,NSW,AALL
DMS,438260,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL
ESS,5080250109,0212903C,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,
DMS,17823570,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,
DMS,9947308109,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH
DMS,1734604009,0212823C,YA87,AimBig Employment Pty Ltd MELTON,4WES,Western Victoria,VIC,MUSK
ESS,17031590,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,
DMS,18660880,0212812K,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL
DMS,7570628609,0212812K,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,
ESS,2434604003,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,
DMS,6227974209,0212817E,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,
DMS,6864182004,0212795D,NX17,AimBig Employment FORTITUDE VALLEY,4NOB,QLD North,QLD,
