,Job_Seeker_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code
0,3996600001,0,0,AimBig Employment BERRIMAH,0212830B,AALL
0,6737828003,0,0,AimBig Employment BONDI JUNCTION,0212843G,MUSK
0,7987710001,0,3,AimBig Employment BERRIMAH,0212891D,AALL
0,1139583709,0,1,AimBig Employment SURRY HILLS,0212900K,AALL
0,9858137909,0,2,Aimbig Employment LAUNCESTON,0212865B,(blank)
0,3201211309,0,1,AimBig Employment CAMPSIE,0212839K,MENH
0,5256988409,0,8,AimBig Employment NORTH LAKES,0212795D,AALL
0,449220,0,2,AimBig Employment ETTALONG BEACH,0212812K,AALL
0,330583209,0,8,AimBig Employment BROADMEADOW,0212815C,AALL
0,273408109,0,0,AimBig Employment LISMORE,0212829J,AALL
0,8959611809,0,2,AimBig Employment CHINCHILLA,0212897K,AALL
0,8244031004,0,0,AimBig Employment CALOUNDRA,0212874C,(blank)
0,5928973007,0,1,AimBig Employment MOONEE PONDS,0212817E,AALL
0,4039704909,0,1,AimBig Employment WERRIBEE,0212823C,MUSK
0,51388509,0,3,AimBig Employment CESSNOCK,0212882C,AALL
0,3522124009,0,1,AimBig Employment SURRY HILLS,0212900K,AALL
0,1949890,0,5,AimBig Employment AITKENVALE,0212804K,MENH
0,4463041004,0,0,AimBig Employment FRANKSTON,0212819G,MUSK
0,4118372809,0,2,AimBig Employment FRANKSTON,0212818F,MENH
0,6247737109,0,0,AimBig Employment INVERELL,0212889K,AALL
0,971320009,0,3,AimBig Employment ETTALONG BEACH,0212812K,AALL
0,1314140,0,2,AimBig Employment SURRY HILLS,0212845J,AALL
0,2429103409,0,1,AimBig Employment BROADMEADOW,0212815C,AALL
0,491880008,0,8,AimBig Employment ROCKINGHAM,0212831C,MENH
0,8286734003,0,2,AimBig Employment FAIRFIELD,0212844H,AALL
0,2847919809,0,3,AimBig Employment BAULKHAM HILLS,0212898K,AALL
0,9774602109,0,1,AimBig Employment BROOKVALE,0212851G,(blank)
0,2556730,0,2,AimBig Employment PROSPECT,0212789F,(blank)
0,6433427609,0,3,AimBig Employment GOSFORD,0212812K,AALL
0,9539968809,0,1,AimBig Employment FRANKSTON,0212818F,MENH
0,3873350409,0,0,AimBig Employment FRANKSTON,0212818F,MENH
0,2583711409,0,8,AimBig Employment GLENORCHY,0212861J,AALL
0,342411119,0,5,AimBig Employment WYONG,0212881B,AALL
0,601250,0,2,AimBig Employment BAULKHAM HILLS,0212841E,AALL
0,7649778509,0,0,AimBig Employment FRANKSTON,0212818F,MENH
0,2910622019,0,4,AimBig Employment BANKSTOWN,0212840D,MUSK
0,768690,0,3,AimBig Employment BANKSTOWN,0212840D,MUSK
0,4914832309,0,3,AimBig Employment INGLEBURN,0212902B,AALL
0,7792368009,0,0,AimBig Employment BANKSTOWN,0212839K,MENH
0,5962000909,0,4,AimBig Employment CALOUNDRA,0212874C,(blank)
0,1652180,0,2,AimBig Employment MOONEE PONDS,0212886G,AALL
0,7363316019,0,1,AimBig Employment THE ENTRANCE,0212881B,AALL
0,338030007,0,2,AimBig Employment MOONEE PONDS,0212886G,AALL
0,8575177309,0,2,AimBig Employment TAYLORS LAKES,0212822B,MENH
0,433995909,0,2,AimBig Employment MOONEE PONDS,0212886G,AALL
0,6062211119,0,4,AimBig Employment GEELONG,0212895H,AALL
0,2707870,0,0,AimBig Employment SURRY HILLS,0212845J,AALL
0,5973304009,0,3,AimBig Employment BERRIMAH,0212891D,AALL
0,3229030019,0,2,AimBig Employment BROADMEADOW,0212815C,AALL
0,4722349009,0,2,AimBig Employment MAITLAND,0212882C,AALL
0,876363019,0,3,AimBig Employment TAMWORTH,0212883D,(blank)
0,11516119,0,2,AimBig Employment FRANKSTON,0212818F,MENH
0,861328609,0,2,AimBig Employment EPPING,0212820K,MENH
0,6773302509,0,6,AimBig Employment GOSFORD,0212881B,AALL
0,9338446007,0,3,AimBig Employment SUNSHINE WEST,0212822B,MENH
0,2100143003,0,0,AimBig Employment SURFERS PARADISE,0212794C,(blank)
0,2971500,0,2,AimBig Employment KANWAL,0212881B,AALL
0,2452411007,0,2,AimBig Employment SUNSHINE WEST,0212823C,MUSK
0,8821268909,0,3,AimBig Employment KANWAL,0212881B,AALL
0,437517809,0,2,AimBig Employment MOONEE PONDS,0212886G,AALL
0,1576403509,0,2,AimBig Employment GOSFORD,0212881B,AALL
0,7622505003,0,0,AimBig Employment BROADMEADOW,0212884E,AALL
0,7611927409,0,3,AimBig Employment NORTH LAKES,0212879H,AALL
0,2083770609,0,0,AimBig Employment KANWAL,0212812K,AALL
0,4200602809,0,2,AimBig Employment GOSFORD,0212881B,AALL
0,3898265109,0,3,AimBig Employment SINGLETON,0212885F,(blank)
0,88921109,0,3,AimBig Employment MIRANDA,0212855K,AALL
0,2189991003,0,2,AimBig Employment PENRITH,0212903C,(blank)
0,2568410,0,4,AimBig Employment SYDNEY,0212900K,AALL
0,3956028709,0,1,AimBig Employment BURWOOD,0212847K,MUSK
0,6306580003,0,2,AimBig Employment KANWAL,0212881B,AALL
0,1076900,0,1,AimBig Employment PENRITH,0212903C,(blank)
0,3527760,0,3,AimBig Employment WERRIBEE,0212822B,MENH
0,4286104709,0,6,AimBig Employment KANWAL,0212881B,AALL
0,144647019,0,2,AimBig Employment BURWOOD,0212846K,MENH
0,303150,0,2,AimBig Employment PROSPECT,0212789F,(blank)
0,353115809,0,3,AimBig Employment MOONEE PONDS,0212817E,AALL
0,6825909309,0,1,AimBig Employment HEIDELBERG,0212820K,MENH
