,CONTRACT_ID,SITE_CODE,SPECIALTY_CD,SITE_NAME,PERFORMANCE_MEASURES,ALL_ORG_NAT_AVG,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,13_full_avg
4711,0212838K,AB51,AALL,AimBig Employment DALBY,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
4712,0212838K,AB51,AALL,AimBig Employment DALBY,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4713,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
4714,0212897K,AB71,AALL,AimBig Employment MILES,Ongoing Support,81.4,0.0,0.0,0.0,0.0,0.0,0.0
4715,0212897K,AB51,AALL,AimBig Employment DALBY,Ongoing Support,81.4,0.0,0.0,0.0,0.0,0.0,0.0
4783,0212840D,MM27,MUSK,AimBig Employment CAMPSIE,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4784,0212840D,MM27,MUSK,AimBig Employment CAMPSIE,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4785,0212840D,MM37,MUSK,AimBig Employment BANKSTOWN,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4786,0212840D,MM37,MUSK,AimBig Employment BANKSTOWN,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4787,0212840D,MM27,MUSK,AimBig Employment CAMPSIE,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4788,0212840D,MM37,MUSK,AimBig Employment BANKSTOWN,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4791,0212839K,MM27,MENH,AimBig Employment CAMPSIE,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4793,0212840D,MM27,MUSK,AimBig Employment CAMPSIE,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
