,index,Contract_ID,Site_Name,specialist_site_type_code,actual_13_full,actual_26_full,actual_26_path,actual_26_wrkast,actual_52_full,actual_52_path,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,26_full,26_path,26_wrkast,52_full,52_path,13_full,26_comb,52_comb,13_full_avg,26_comb_avg,52_comb_avg,overall_perScore,overall_perScore_avg,star_rating_perc,star_rating
45,45,0212820K,AimBig Employment Pty Ltd RESERVOIR,MENH,50.0,100.0,0.5,0.5,100.0,0.5,50.0,50.0,0.5,0.5,200.0,0.5,100.0,0.5,0.5,100.0,0.5,2.0,1.0,1.0,0.5,1.0,0.0,1.828,0.18999999999999997,0.0,1.828,1.125194805194805,2.0180000000000002,2.953194805194805,-31.667223697866266,2.0
46,46,0212820K,AimBig Employment Pty Ltd THOMASTOWN,MENH,100.0,0.0,0.0,0.5,0.0,0.5,100.0,0.5,0.5,0.5,12.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.912,0.03808333333333333,0.0,0.0,0.9500833333333334,-100.0,1.0
47,47,0212821A,AimBig Employment EPPING,MUSK,15.789473684210526,100.0,0.5,0.5,100.0,0.5,15.789473684210526,50.0,0.5,0.5,300.0,0.5,100.0,0.5,0.5,100.0,0.5,2.0,1.0,1.0,0.3333333333333333,1.0,0.0,1.828,0.12666666666666662,0.0,1.828,1.125194805194805,1.9546666666666668,2.953194805194805,-33.81179381636733,2.0
48,48,0212821A,AimBig Employment HEIDELBERG,MUSK,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.828,0.7599999999999999,0.912,0.03973913043478261,0.0,2.588,0.9517391304347826,171.92325262677022,5.0
49,49,0212821A,AimBig Employment Pty Ltd PRESTON,MUSK,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.828,0.7599999999999999,0.912,0.03973913043478261,0.0,2.588,0.9517391304347826,171.92325262677022,5.0
50,50,0212821A,AimBig Employment Pty Ltd RESERVOIR,MUSK,30.0,11.11111111111111,0.0,0.5,0.0,0.5,10.0,11.11111111111111,0.5,0.5,25.0,0.5,0.0,0.5,0.5,11.11111111111111,0.0,1.0,0.0,1.0,0.0,1.0,0.912,0.914,0.0,0.912,0.8842949999999999,0.0,1.826,1.796295,1.6536816057496178,3.0
51,51,0212821A,AimBig Employment Pty Ltd THOMASTOWN,MUSK,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.828,0.7599999999999999,0.912,0.03973913043478261,0.0,2.588,0.9517391304347826,171.92325262677022,5.0
52,52,0212822B,AimBig Employment NEWPORT,MENH,100.0,11.11111111111111,0.0,0.5,0.0,0.5,50.0,22.22222222222222,0.5,0.5,25.0,0.5,0.0,0.5,0.5,11.11111111111111,0.0,0.5,0.0,1.0,0.0,1.0,0.912,0.914,0.0,0.912,0.8842949999999999,0.0,1.826,1.796295,1.6536816057496178,3.0
53,53,0212822B,AimBig Employment Pty Ltd BACCHUS MARSH,MENH,100.0,0.5,0.5,0.5,0.5,0.5,50.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.828,0.0,0.912,0.03973913043478261,0.0,1.828,0.9517391304347826,92.06943809958885,5.0
54,54,0212822B,AimBig Employment Pty Ltd HOPPERS CROSSING,MENH,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.912,0.009232323232323234,0.0,0.912,0.03973913043478261,0.0,0.9212323232323233,0.9517391304347826,-3.205374900212723,3.0
